customer_id,segment,update_date
1,Occasional,2024-01-31
2,Occasional,2024-01-31
3,Inactive,2024-01-31
4,Inactive,2024-01-31
5,Frequent Buyer,2024-01-31
6,High Spender,2024-01-31
7,Occasional,2024-01-31
8,Inactive,2024-01-31
9,Inactive,2024-01-31
10,Frequent Buyer,2024-01-31
11,Inactive,2024-01-31
12,Occasional,2024-01-31
13,Occasional,2024-01-31
14,Occasional,2024-01-31
15,Frequent Buyer,2024-01-31
16,Occasional,2024-01-31
17,Inactive,2024-01-31
18,Inactive,2024-01-31
19,Occasional,2024-01-31
20,Frequent Buyer,2024-01-31
21,Inactive,2024-01-31
22,High Spender,2024-01-31
23,Occasional,2024-01-31
24,Occasional,2024-01-31
25,Occasional,2024-01-31
26,Occasional,2024-01-31
27,Occasional,2024-01-31
28,Occasional,2024-01-31
29,Frequent Buyer,2024-01-31
30,Inactive,2024-01-31
31,Occasional,2024-01-31
32,Occasional,2024-01-31
33,Inactive,2024-01-31
34,Occasional,2024-01-31
35,Occasional,2024-01-31
36,Frequent Buyer,2024-01-31
37,Frequent Buyer,2024-01-31
38,High Spender,2024-01-31
39,Inactive,2024-01-31
40,Occasional,2024-01-31
41,Frequent Buyer,2024-01-31
42,Occasional,2024-01-31
43,Frequent Buyer,2024-01-31
44,High Spender,2024-01-31
45,Occasional,2024-01-31
46,Frequent Buyer,2024-01-31
47,Inactive,2024-01-31
48,High Spender,2024-01-31
49,Occasional,2024-01-31
50,Inactive,2024-01-31
51,Inactive,2024-01-31
52,Inactive,2024-01-31
53,Occasional,2024-01-31
54,High Spender,2024-01-31
55,Occasional,2024-01-31
56,High Spender,2024-01-31
57,Occasional,2024-01-31
58,Occasional,2024-01-31
59,Frequent Buyer,2024-01-31
60,Frequent Buyer,2024-01-31
61,Occasional,2024-01-31
62,Frequent Buyer,2024-01-31
63,Frequent Buyer,2024-01-31
64,Occasional,2024-01-31
65,Frequent Buyer,2024-01-31
66,High Spender,2024-01-31
67,High Spender,2024-01-31
68,Occasional,2024-01-31
69,Inactive,2024-01-31
70,Occasional,2024-01-31
71,Occasional,2024-01-31
72,Inactive,2024-01-31
73,Inactive,2024-01-31
74,Occasional,2024-01-31
75,Frequent Buyer,2024-01-31
76,Occasional,2024-01-31
77,Inactive,2024-01-31
78,High Spender,2024-01-31
79,Occasional,2024-01-31
80,Inactive,2024-01-31
81,Inactive,2024-01-31
82,High Spender,2024-01-31
83,Frequent Buyer,2024-01-31
84,Occasional,2024-01-31
85,Inactive,2024-01-31
86,Occasional,2024-01-31
87,Inactive,2024-01-31
88,Occasional,2024-01-31
89,Occasional,2024-01-31
90,Occasional,2024-01-31
91,Occasional,2024-01-31
92,Occasional,2024-01-31
93,Inactive,2024-01-31
94,Inactive,2024-01-31
95,Occasional,2024-01-31
96,Occasional,2024-01-31
97,Occasional,2024-01-31
98,Inactive,2024-01-31
99,Inactive,2024-01-31
100,Frequent Buyer,2024-01-31
101,Frequent Buyer,2024-01-31
102,Occasional,2024-01-31
103,Occasional,2024-01-31
104,Inactive,2024-01-31
105,Inactive,2024-01-31
106,Frequent Buyer,2024-01-31
107,Occasional,2024-01-31
108,Occasional,2024-01-31
109,Inactive,2024-01-31
110,Frequent Buyer,2024-01-31
111,Occasional,2024-01-31
112,Occasional,2024-01-31
113,Occasional,2024-01-31
114,Occasional,2024-01-31
115,Occasional,2024-01-31
116,Inactive,2024-01-31
117,Occasional,2024-01-31
118,Inactive,2024-01-31
119,Inactive,2024-01-31
120,Occasional,2024-01-31
121,Occasional,2024-01-31
122,Inactive,2024-01-31
123,Occasional,2024-01-31
