product_id,product_name,category,subcategory,formality,season,materials,size,color,brand_tier,price,stock,release_date
1,Zara Maxi,Dresses,Maxi,Casual,Fall,"Satin, Chiffon",XS,Green,Fast Fashion,101.2,52,2024-06-12
2,Gucci Jacket,Outerwear,Jacket,Beach,Winter,"Leather, Polyester",S,Green,Luxury,1654.16,4,2024-09-10
3,Diesel Polo,Shirts,Polo,Office,Summer,"Polyester, Cotton",XS,Green,Premium,484.32,0,2023-05-03
4,Diesel Windbreaker,Outerwear,Windbreaker,Casual,Summer,"Rayon, Denim",M,Navy,Premium,164.77,0,2022-09-29
5,Uniqlo Parka,Outerwear,Parka,Casual,All-Season,Wool,M,Blue,Fast Fashion,84.96,7,2024-03-06
6,Versace Parka,Outerwear,Parka,Athletic,All-Season,"Polyester, Wool, Leather",XL,Gray,Luxury,921.01,0,2024-08-18
7,Gap Parka,Outerwear,Parka,Office,Summer,Wool,S,Teal,Fast Fashion,120.55,9,2022-03-02
8,Calvin Klein Oxford,Shirts,Oxford,Casual,All-Season,"Linen, Polyester",XL,White,Premium,464.54,0,2022-02-25
9,Gap Slacks,Pants,Slacks,Beach,Summer,"Cotton, Wool",XS,Maroon,Fast Fashion,99.08,16,2023-07-13
10,Zara Leggings,Pants,Leggings,Office,Spring,"Cotton, Wool, Denim",S,White,Fast Fashion,113.09,1,2024-04-13
11,Mango Chinos,Pants,Chinos,Casual,Winter,Satin,S,Maroon,Fast Fashion,52.79,16,2022-10-14
12,Gap Wedding,Dresses,Wedding,Athletic,Winter,Cotton,S,Purple,Fast Fashion,88.31,0,2023-06-01
13,Uniqlo Polo,Shirts,Polo,Casual,Fall,"Linen, Polyester",XS,Purple,Fast Fashion,118.76,31,2024-03-02
14,Tommy Hilfiger Mini,Dresses,Mini,Formal,Spring,"Linen, Cashmere",S,White,Premium,354.82,0,2023-04-10
15,H&M Coat,Outerwear,Coat,Beach,Summer,"Wool, Polyester",S,Silver,Fast Fashion,54.32,0,2022-06-01
16,Mango Windbreaker,Outerwear,Windbreaker,Athletic,Winter,Velvet,XL,White,Fast Fashion,23.73,48,2022-06-16
17,H&M Parka,Outerwear,Parka,Beach,Spring,Polyester,XS,Silver,Fast Fashion,117.72,57,2024-05-15
18,Louis Vuitton Chinos,Pants,Chinos,Formal,Winter,"Leather, Satin",L,Yellow,Luxury,2902.28,0,2023-05-03
19,Uniqlo Jeans,Pants,Jeans,Office,Summer,Cotton,XL,Olive,Fast Fashion,92.2,32,2023-03-31
20,Diesel Oxford,Shirts,Oxford,Casual,Spring,"Polyester, Cotton, Linen",M,Lime,Premium,131.49,0,2024-02-03
21,Mango Mini,Dresses,Mini,Athletic,Fall,"Satin, Silk",S,Aqua,Fast Fashion,79.04,62,2022-10-23
22,Zara Blazer,Outerwear,Blazer,Beach,Winter,Leather,S,Yellow,Fast Fashion,20.81,41,2024-06-25
23,Uniqlo Coat,Outerwear,Coat,Formal,Summer,"Leather, Polyester",M,Aqua,Fast Fashion,93.01,21,2023-12-17
24,Calvin Klein Midi,Dresses,Midi,Formal,Winter,Silk,M,Teal,Premium,115.48,0,2023-12-13
25,Diesel Mini,Dresses,Mini,Beach,Summer,"Chiffon, Silk",L,Olive,Premium,180.4,2,2022-07-01
26,Zara Chinos,Pants,Chinos,Office,Summer,Cotton,L,White,Fast Fashion,39.07,67,2022-09-03
27,Gap Blouse,Shirts,Blouse,Party,Winter,"Cotton, Polyester, Linen",L,Olive,Fast Fashion,27.05,82,2022-09-27
28,H&M Blazer,Outerwear,Blazer,Casual,All-Season,Polyester,M,Gray,Fast Fashion,66.1,40,2023-03-07
29,Gap Wedding,Dresses,Wedding,Office,Summer,"Silk, Satin",S,Black,Fast Fashion,108.45,40,2024-06-08
30,H&M Chinos,Pants,Chinos,Athletic,Winter,"Cotton, Wool",M,Olive,Fast Fashion,24.19,83,2024-11-07
31,Zara Wedding,Dresses,Wedding,Beach,Summer,"Chiffon, Silk",XS,Maroon,Fast Fashion,107.66,72,2024-03-07
32,Tommy Hilfiger Coat,Outerwear,Coat,Casual,Winter,Leather,L,Olive,Premium,245.27,0,2023-05-13
33,Prada T-Shirt,Shirts,T-Shirt,Athletic,Fall,"Leather, Tweed",L,Gray,Luxury,1869.63,0,2023-09-28
34,Diesel Windbreaker,Outerwear,Windbreaker,Party,Winter,Wool,M,White,Premium,348.97,0,2024-10-16
35,Calvin Klein Oxford,Shirts,Oxford,Formal,Spring,"Cotton, Linen, Polyester",M,White,Premium,145.03,0,2024-06-27
